unit,factor,r,p,bucket,partial_r,partial_p
6,contrarian_bias,0.363370446194488,6.379387263937747e-156,strong,0.3581907138913759,2.9808091991305777e-151
7,contrarian_bias,0.32292129460262975,1.0553907987443047e-121,strong,0.32082704162382036,4.555262268070766e-120
8,contrarian_bias,0.30113328234631376,2.538281755954556e-105,strong,0.3004653930945741,7.672856479842614e-105
9,contrarian_bias,0.4156591814390358,3.7851178329794842e-208,strong,0.41045407278416046,1.6234282375925064e-202
10,contrarian_bias,0.2697616942981764,4.171895946730181e-84,moderate,0.2648074278337599,5.294382674576561e-81
11,contrarian_bias,0.3611987849155982,5.930965595516235e-154,strong,0.35593618091977175,3.018309935095177e-149
12,contrarian_bias,0.4206999908156217,1.0654214221129512e-213,strong,0.4154281344159124,6.764207095802035e-208
13,contrarian_bias,0.2956855486240447,1.932226234707523e-101,moderate,0.29045107850650365,8.639898004896055e-98
14,contrarian_bias,0.3957666586438189,3.735608327408693e-187,strong,0.3935849224001868,6.147240252083217e-185
15,contrarian_bias,0.35378069635785625,2.4091463641839045e-147,strong,0.3488170471145524,5.079419036673116e-143
16,contrarian_bias,0.3557653187681823,4.276442675928882e-149,strong,0.3536838625733317,2.930661411994124e-147
17,contrarian_bias,0.4496556193079977,1.761360457522272e-247,strong,0.44468933283398093,1.8880207942154718e-241
18,contrarian_bias,0.4465669769580099,1.0184098902318854e-243,strong,0.4429662653095696,2.2123062755141757e-239
19,contrarian_bias,0.540862694740259,0.0,strong,0.536968168379826,0.0
20,contrarian_bias,0.47165914669189174,1.9563010507544932e-275,strong,0.46713083717934434,1.6340529386303997e-269
21,contrarian_bias,0.4817307542002477,6.250832966047348e-289,strong,0.47740433316783965,4.452532219464662e-283
22,contrarian_bias,0.269053557202526,1.1694434894412622e-83,moderate,0.26379259530488575,2.2459346894009877e-80
23,contrarian_bias,0.20358014352580134,6.35207325616397e-48,moderate,0.19857798125345189,1.2271129209361797e-45
24,contrarian_bias,0.2998709533008933,2.0486627823830378e-104,moderate,0.2985439304674993,1.8196246220179087e-103
25,contrarian_bias,0.41204895695897886,3.127919171403915e-204,strong,0.4094559865509619,1.9013133682952674e-201
